_id,author,date,section,sub_title,text,title,url
[8],Kiko Nogueira,30-03-2019 11:45:21+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,"O prefeito do Rio, bispo Marcelo Crivella, achou uma explicação para a obsessão dos evangélicos com Israel.,“Nós somos ramos da mesma árvore. Jesus era judeu”, disse ele numa entrevista ao jornalista inglês David Biller.,“Por isso somos ligados pela alma. ,”.,Então tá.",VÍDEO – Crivella sobre a ligação dos evangélicos com Israel: “Eles são circuncidados no pênis e nós no coração”,https://www.diariodocentrodomundo.com.br/video-crivella-sobre-a-ligacao-dos-evangelicos-com-israel-eles-sao-circuncidados-no-penis-e-nos-no-coracao/
[9],Diario do Centro do Mundo,05-04-2019 15:33:34+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,"Entre as muitas pesquisas divulgadas esta semana, mostrando a queda da aprovação de Bolsonaro, a que mais me chamou a atenção foi a do Ipespe, que procurou saber o que os brasileiros estão sentindo neste momento, às vésperas do governo completar 100 dias.,O resultado está na coluna de Mônica Bergamo, na Folha:,“A maior parte das pessoas (62%) se diz preocupada, envergonhada, indignada, triste ou com medo hoje no Brasil, segundo pesquisa realizada pelo Ipespe.,Outras 33% afirmam estar esperançosas, alegres e tranquilas; 2% se dizem entusiasmadas e apenas 1%, orgulhosas”.,Quem será que está incluído neste 1%? Gostaria de conhecer estas pessoas para saber seus motivos.,Grosso modo, a pesquisa reproduz a proporção de um terço da população, os que estão otimistas, que votou em Bolsonaro na eleição e lhe continua fiel.,Os dois terços de desalentados constituem a soma dos que votaram em Haddad, anularam o voto, votaram em branco ou se abstiveram.,Até a pesquisa oficial do mercado, que reúne bancos e rentistas, encomendada pela corretora XP ao mesmo Ipespe, e divulgada nesta sexta-feira, mostra queda na popularidade de Bolsonaro: de janeiro para cá, o índice caiu de 40% para 35%.,Na pesquisa do instituto Big Data, contratada pela revista Veja, no mesmo período a aprovação de Bolsonaro caiu 12 pontos percentuais:  de 50% para 38%.,Todas as pesquisas mostram números semelhantes: cerca de um terço da população ainda acredita no governo.,Na véspera, pesquisa do Atlas Político já havia mostrado que a aprovação do presidente (30,5%) já é menor do que a dos que o rejeitam (31,2%).,Nenhum outro presidente teve índices tão baixos nos primeiros 100 dias após a redemocratização do país.,A maioria dos desiludidos está na classe média. Estimativa do Big Data calcula que cerca de 15 milhões de eleitores que votaram em Bolsonaro deixaram de avaliar seu governo de maneira positiva.,Se Bolsonaro reagir com fúria às pesquisas em que está despencando, como fez quando o IBGE divulgou esta semana o aumento do número de desempregados no país (foi para 13,1 milhões), estes institutos vão ter que mudar suas metodologias ou correrão o risco de entrar na lista negra dos comunistas.,Será engraçado incluir neste rol de malditos a XP, a maior corretora do país, com controle indireto do Itaú.,Nada mais é impossível no país dos bolsonaros, do nazismo de esquerda e da terra plana.,A única boa notícia para o governo foi dada na manhã de hoje pelo próprio presidente: o ministro da Educação, Vélez Rodriguez, finalmente deve ser demitido na segunda-feira.,Pelo menos os livros didáticos foram salvos do colombiano doido que queria reescrever a História do Brasil.,Bom final de semana a todos.,Vida que segue.","Conseguiram! 62% dos brasileiros sentem vergonha, indignação, tristeza e medo. Por Ricardo Kotscho",https://www.diariodocentrodomundo.com.br/conseguiram-62-dos-brasileiros-sentem-vergonha-indignacao-tristeza-e-medo-por-ricardo-kotscho/
[10],Willy Delvalle,05-04-2019 16:08:40+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,,"“Bolsonaro não é digno de presidir o Brasil”, diz senadora francesa ao DCM. Por Willy Delvalle",https://www.diariodocentrodomundo.com.br/bolsonaro-nao-e-digno-de-presidir-o-brasil-diz-senadora-francesa-ao-dcm-por-willy-delvalle/
[11],Diario do Centro do Mundo,31-03-2019 19:22:34+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,"A procuradora regional da República e presidenta da Comissão Especial de Mortos e Desaparecidos Políticos, Eugênia Gonzaga, não tem dúvida:Bolsonaro comete crime de responsabilidade e improbidade administrativa ao mandar os quartéis celebrarem a data de 31 de março, que marca o início da ditadura civil-militar (1964-1985) e os 55 anos da destituição do então presidente João Goulart.,“A gravidade disso é muito grande, porque não estamos falando de uma coisa em que há dúvida jurídica sobre a legalidade. A própria Constituição de 1988 admitiu que 1964 foi um golpe, e se não quiser usar esse termo pode usar ‘quebra da legalidade’, porque havia um presidente eleito e sem razões para ele ser derrubado. Uma derrubada que não seguiu nenhum processo, as forças contrárias simplesmente assumiram o poder”, afirma Eugênia Gonzaga, em entrevista aos jornalistas Marilu Cabañas e Glauco Faria, da Rádio Brasil Atual.,Em contraposição ao discurso de Bolsonaro, a Comissão Especial de Mortos e Desaparecidos Políticos e o grupo Tortura Nunca Mais promovem neste domingo (31) a “1ª Caminhada do Silêncio”, em homenagem às vítimas da ditadura e também às vítimas da violência cotidiana causada pelo Estado brasileiro. O ato acontece a partir das 16h, na Praça da Paz, no parque Ibirapuera, e por volta das 18h segue em caminhada até o Monumento em Homenagem aos Mortos e Desaparecidos Políticos, localizado próximo ao portão 10 do parque.,Segundo Eugênia Gonzaga, a proposta da caminhada surgiu com o grupo Tortura Nunca Mais, da Bahia, e já havia sido bem recebida por parentes de mortos e desaparecidos políticos e militantes em direitos humanos antes mesmo do presidente Jair , (PSL) recomendar as Forças Armadas a comemorarem a data do golpe de 1964. Após as recentes declarações do presidente, o ato ganhou força.,Essa semana, o comandante do Exército, general Edson Leal Pujo, disse à imprensa que as Forças Armadas não se arrependem do golpe de 1964. Para Eugênia Gonzaga, os militares até hoje justificam a destituição de João Goulart em razão de terem supostamente salvado o país do “perigo comunista”.,“A gente sabe muito bem que esse ‘perigo vermelho’ foi superestimado”, pondera a presidenta da Comissão Especial de Mortos e Desaparecidos Políticos. Assim como outros países, diz Eugênia, o governo de João Goulart apenas tentava promover reformas sociais, inclusive previstas na Constituição em vigor à época, que era a de 1946.,Com a eleição de Bolsonaro – defensor da tese de que o regime que durante 21 anos matou, perseguiu e desapareceu com seus opositores não foi uma ditadura –, membros das Forças Armadas da ativa e da reserva têm se sentido mais à vontade para negar o golpe e suas consequências. Uma narrativa que, às vezes, procura fazer crer que os problemas do regime começou apenas depois do Ato Institucional nº 5 (o AI-5), em dezembro de 1968, que fechou o Congresso e decretou a censura da imprensa.,Para Eugênia Gonzaga, nem mesmo esse discurso se sustenta. Como exemplo, a procuradora lembra o assassinato do estudante Edson Luís de Lima Souto, em março de 1968, antes da promulgação do AI-5. Com apenas 18 anos, Edson foi morto com um tiro no peito disparado por um policial militar que invadiu o Restaurante Central dos Estudantes, conhecido como Calabouço, no Rio de Janeiro, onde estudantes faziam uma manifestação exigindo melhorias na estrutura do restaurante.,“A morte do Edson prova que não existe essa história de que a ditadura recrudesceu apenas depois do AI-5. Ela já adotava uma postura extremamente violenta em relação a estudantes, a pessoas jovens sem armas, sem grau de periculosidade diante dos agentes do Estado”, afirma a procuradora.,.x.x.x.x.,Neste 31 de março de 2019, o Palácio do Planalto distribuiu vídeo institucional que enaltece o papel do Exército em 1964 e nega o que a Constituição reconhece: o golpe contra João Goulart. O Planalto não esclareceu quem fez nem de quem recebeu a propaganda ilegal. Veja o ,.","Comemoração do golpe de 64: Bolsonaro cometeu crime de responsabilidade, diz procuradora",https://www.diariodocentrodomundo.com.br/comemoracao-do-golpe-de-64-bolsonaro-cometeu-crime-de-responsabilidade-diz-procuradora/
[12],Nathalí Macedo,04-04-2019 17:14:58+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,,VÍDEO – Comentários dos bolsominions arrependidos. Por Nathalí Macedo,https://www.diariodocentrodomundo.com.br/video-comentarios-dos-bolsominions-arrependidos-por-nathali-macedo/
[13],Joaquim de Carvalho,04-04-2019 14:22:49+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,"Depois da primeira edição do Big Brother Brasil, em 2002, nunca mais vi um episódio do reality show, mas é inegável que o programa da Globo continua tendo repercussão.,Jean Wyllys se tornou conhecido ao participar de uma das edições do programa e, com sua personalidade e discurso, levantar a bandeira LGBT.,Desta vez, quem está na arena é Rodrigo França, que esta semana deixou o Big Brother Brasil com alto índice de rejeição: 69,7% das pessoas votaram para que ele fosse eliminado.,Rodrigo, ator e dramaturgo, não teria ficado chateado com a eliminação, como contam seus parentes, com quem eu conversei, mas com o linchamento moral que a família tem sofrido nas redes sociais.,“Minha mãe está tomando medicamento, depois de ser xingada nas redes”, contou Fábio, irmão de Rodrigo (o brother, por razões contratuais, só pode dar entrevista em veículos da Globo).,O “crime” da mãe de Rodrigo, Vera Lúcia Ferreira da Silva, conhecida como Dona Verinha, foi ter feito sucesso na rede social, com o funk “Deixa o menino roncar”.,A música foi uma resposta bem-humorada a uma das primeiras situações de hostilidade que Rodrigo enfrentou na casa do Big Brother.,Ele não era o único que roncava ali, mas foi o único que foi colocado para fora do quarto e teve que dormir em outro lugar.,Dona Verinha começou a ser ofendida com expressões racistas em sua rede social, e caiu em depressão. Para ela, foi um alívio o filho ter sido eliminado do Big Brother.,O episódio do ronco, porém, não foi o mais grave. A notória Paula disse que não indicaria Rodrigo para o paredão “porque ele mexe com esses trechos, de Oxum deles lá”.,Quando soube, Rodrigo tomou a decisão de não deixar barato. “Mais uma vez, se coloca o Candomblé como algo maligno, perverso, sem o cuidado de se perguntar sobre o que se fala”, disse ele, em uma das entrevistas à Globo.,Na rede social, o ataque a ele tem sido pesado. Internautas o chamaram de macaco, disseram que seu lugar era no zoológico e o definiram como “lixo para a sociedade”.,Assim como Jean Wyllys, tempos atrás, Rodrigo tem uma trajetória que o diferencia de outros brothers. Como ator, se destacou no teatro por peças de forte conteúdo político.,Encenou o Pequeno Príncipe Negro, quando conheceu o advogado Ricardo Brajterman. Os dois são amigos e ambos lutam por causas parecidas, Rodrigo no movimento negro, Ricardo como judeu.,Ricardo foi diretor jurídico da Federação Israelita do Rio de Janeiro, da qual se afastou depois de um episódio polêmico, em que a Hebraica convidou Jair Bolsonaro para fazer uma palestra.,Foi quando, pré-candidato a presidente, Bolsonaro citou o caso de um quilombo, em que se referiu a seus moradores com peso em arrouba, como se fossem animais.,Também comparou o nascimento da sua filha a uma “fraquejada”.,Brajterman, que é conhecido por posturas corajosas e é professor de direito na PUC, aceitou o desafio de mover ações contra os autores das mensagens racistas.,“O primeiro passo será identificar os agressores, porque sabemos que elas partiram de perfis fake e também de perfis verdadeiros. Eles responderão por seus atos”, disse o advogado ao DCM.,Ricardo também estuda apresentar uma queixa diretamente na delegacia de combate a crimes de intolerância, onde já teria sido aberta uma investigação por conta de manifestações racistas da participante do Big Brother Paula.,“Pelo contato que tive com a família, tenho certeza da disposição deles de ir até o fim. E poderão contar comigo. Esse tipo de crime não pode ficar impune”, afirmou.,Outras medidas em estudo são ações civis, em que os agressores serão cobrados para indenizar os ofendidos.,Numa época em que o preconceito, o racismo e a intolerância foram empoderados pela eleição de Jair Bolsonaro, essas ações podem ter caráter pedagógico.,O Big Brother, enfim, poderá servir para algo útil, que vá além de uma vitrine para pessoas em busca de quinze minutos de fama e como programa de televisão para ajudar o tempo passar a pessoas que não têm coisa melhor para fazer., , , , ",Racismo e intolerância religiosa: Big Brother Brasil terminará na polícia,https://www.diariodocentrodomundo.com.br/racismo-e-intolerancia-religiosa-big-brother-brasil-terminara-na-policia/
[14],,01-04-2019 16:51:33+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,,VÍDEO – Pancadaria na Paulista: fascistas apanham por celebrarem o golpe militar. Por Nathalí Macedo,https://www.diariodocentrodomundo.com.br/video-pancadaria-na-paulista-fascistas-apanham-por-celebrarem-o-golpe-militar-por-nathali-macedo/
[15],Nathalí Macedo,02-04-2019 16:06:46+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,,VÍDEO – Coisas que Felipe Neto já fez pelo Brasil. Por Nathalí Macedo,https://www.diariodocentrodomundo.com.br/video-coisas-que-felipe-neto-ja-fez-pelo-brasil-por-nathali-macedo/
[16],Diario do Centro do Mundo,03-04-2019 09:01:48+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,"Não é a primeira vez que líderes evangélicos apoiam o fascismo. Dentre os 17 mil pastores evangélicos que havia na Alemanha, nem 1% se negou a apoiar o regime nazista. Protestantes ouviram seus líderes insistindo que cooperassem com Hitler.,A primeira maioria absoluta conseguida pelo Partido Nazista nas eleições estaduais aconteceu em 1932 em Oldemburgo, um distrito em que 75% da população eram protestantes. Nacionalismo, anti-comunismo e ressentimentos contra a comunidade internacional devido a tratados punitivos durante a Primeira Guerra Mundial também influenciaram as decisões dos protestantes e católicos.,A vasta maioria dos que elegeram Hitler eram Evangélicos. Luteranos, batistas e outros movimentos chamados “cristãos” liderados por clérigos (pastores, reverendos, diáconos) que só foram ver a tolice que tinham feito quando suas mãos já estavam sujas de sangue de judeu.,De acordo com o Censo de 1934, os evangélicos ou protestantes foram na realidade os principais responsáveis pelo sucesso na eleição de Hitler. Pastores e Reverendos elogiaram o desempenho do Governo de Hitler “pelo papel desempenhado a favor das crianças e dos desempregados, pela atual administração [nacional socialista]”. Na Alemanha as igrejas protestantes luteranas e reformadas apoiaram e foram cúmplices do nazismo.,Adolf Hitler disse que “Por meu intermédio, a igreja Protestante poderia tornar-se a igreja oficial, como na Inglaterra“. O líder batista F. Fullbrandt fez grandes elogios a Hitler e ao nazismo. Ele disse que “ninguém se opôs ao dilúvio da descrença que ameaçava o bem estar da Europa e de todo Ocidente igual a Hitler e os apoiadores do Nazismo” (BWA, 1934).,Afirmou também que Hitler ao lidar com o Bolchevismo (COMUNISMO) deu um belo exemplo que “envergonhou as igrejas”, e que “Hitler fez o que a Igreja deveria ter feito a muito tempo”(BWA, 1934).,Observe o caso do Pastor Batista John W. Bradbury, de Boston, Massachusetts. Após voltar da reunião feita pelos Batistas na Alemanha, ele disse que era um prazer ter ido a uma terra onde livros de sexo e filmes imorais não eram assistidos. Com uma satisfação óbvia, ele escreveu:,“A nova Alemanha queimou montanhas de revistas corrompidas e fizeram fogueiras com livrarias [compostas] de livros comunistas e judeus… A nova Alemanha é de mentalidade séria. Seria bom que todas as outras nações também agissem com seriedade. Noventa por cento das pessoas estão seguindo Hitler. Viajei por muitas cidades e não ouvi uma nota de jazz sequer!” (Watchman-Examiner XXII 37 ,13 de Setembro de 1934).,Foi então que surgiu a Igreja Confessional ou Confessante, liderada por pastores tais como Martin Niemöller (que não era da Igreja Batista, mas luterano) e Heinrich Grüber, que foram posteriormente levados a campos de concentração por não apoiarem o regime nazista.,O fato é que poucos foram corajosos o suficiente para denunciar o nazismo. Em 1934 a Declaração Teológica de Barmen, escrita primariamente por Karl Barth com o apoio de outros pastores reafirmava que a Igreja Protestante Alemã não era um órgão do Estado, com o propósito de reforçar o nazismo, mas um grupo sujeito apenas a Jesus Cristo e seu Evangelho.,A Igreja Confessional teve seus bens confiscados, bem como a prisão de diversos de seus pastores, assim como outras medidas tomadas pelos nazistas, acarretando no fechamento da igreja.","Os evangélicos garantiram a vitória de Hitler na Alemanha. Por Hermes Fernandes, pastor",https://www.diariodocentrodomundo.com.br/os-evangelicos-garantiram-a-vitoria-de-hitler-na-alemanha-por-hermes-fernandes-pastor/
[17],Pedro Zambarda de Araujo,31-03-2019 19:47:03+00:00,Not specified on page!,Noticias não tem subtitle no Diario do Centro do Mundo,,VÍDEO – Protesto contra o golpe de 64 no Ibirapuera tem “Lula Livre”,https://www.diariodocentrodomundo.com.br/video-protesto-contra-o-golpe-de-64-no-ibirapuera-tem-lula-livre/
